date	mois	an	lieu	rr	etp	tempm	tempn	tempx
23/01/2012	janvier	2012	ermitage	0	3.3	24.9	21.3	30.7
24/01/2012	janvier	2012	ermitage	0	4.3	24.6	20.7	30.9
25/01/2012	janvier	2012	ermitage	0	4.8	25	20.9	30.8
26/01/2012	janvier	2012	ermitage	0	4.9	26.3	21.5	31.9
27/01/2012	janvier	2012	ermitage	0	5.6	26.7	22.8	32
28/01/2012	janvier	2012	ermitage	0	3.9	26	22.4	31.8
29/01/2012	janvier	2012	ermitage	0	4.7	25.4	20.8	32.4
30/01/2012	janvier	2012	ermitage	0	5.4	26.6	21.2	33.5
31/01/2012	janvier	2012	ermitage	0	3.6	26.2	22.2	32.5
01/06/2011	juin	2011	LEGTA	2.5	2.4	22.4	19.8	29.3
02/06/2011	juin	2011	LEGTA	0	2.8	22.7	18.4	30.1
03/06/2011	juin	2011	LEGTA	0	3	23	18.9	29.6
04/06/2011	juin	2011	LEGTA	0	2.9	22.8	18.6	29.7
05/06/2011	juin	2011	LEGTA	0	2.8	22.9	19	29.7
06/06/2011	juin	2011	LEGTA	0	1.9	22.5	19.4	27.9
07/06/2011	juin	2011	LEGTA	0	2.5	22.9	19.1	29.4
08/06/2011	juin	2011	LEGTA	0	2.8	22.8	18.9	29.2
09/06/2011	juin	2011	LEGTA	0	2.3	22.4	17.9	28.9
10/06/2011	juin	2011	LEGTA	0	3	23	19	29.6
11/06/2011	juin	2011	LEGTA	0	3	23.4	18.5	30
12/06/2011	juin	2011	LEGTA	35	1.6	22.5	19.5	28.7
13/06/2011	juin	2011	LEGTA	40.5	1.5	21.2	18.9	27.2
14/06/2011	juin	2011	LEGTA	22	1.4	20.7	18.4	25.7
15/06/2011	juin	2011	LEGTA	0	2.6	21.9	17.9	27.7
16/06/2011	juin	2011	LEGTA	0	2.8	22.7	19.2	28.5
17/06/2011	juin	2011	LEGTA	0	2.7	23.1	19.4	29
18/06/2011	juin	2011	LEGTA	12.5	2.5	22.7	19.5	27.3
19/06/2011	juin	2011	LEGTA	0	2.4	22	18.6	28.8
20/06/2011	juin	2011	LEGTA	0	1.8	20.8	18.1	26
