Date	Piege	Nbad	Bourgeons	FlorC	FlorD	FlorE	FlorF	FlorG	VegC	VegD	VegE	VegF	VegG
27/12/2011	A1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27/12/2011	B1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27/12/2011	C1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
04/01/2012	B2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
04/01/2012	B3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
04/01/2012	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
04/01/2012	C3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
04/01/2012	C2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
04/01/2012	A1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
04/01/2012	B1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
04/01/2012	C1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/07/2012	A1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/07/2012	B1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/07/2012	C1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/07/2012	A2	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/07/2012	B2	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/07/2012	C2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/07/2012	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/07/2012	B3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/07/2012	C3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
09/07/2012	A1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
09/07/2012	B1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
09/07/2012	C1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
09/07/2012	A2	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
09/07/2012	B2	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
09/07/2012	C2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
09/07/2012	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
09/07/2012	B3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
09/07/2012	C3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12/07/2012	A1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12/07/2012	B1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12/07/2012	C1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
