Date;Arbre;Piege;NbInfloPiege;NbLarves;Observations
28/08/2018;39ER;A;3;12;Visibilité réduite (fleurs)
28/08/2018;39ER;B;3;7;
28/08/2018;8PS;A;6;0;
28/08/2018;8PS;B;3;9;
28/08/2018;10PS;A;3;2;
28/08/2018;10PS;B;3;6;
28/08/2018;11PS;A;2;5;
28/08/2018;11PS;B;4;3;
28/08/2018;15PS;A;5;14;
28/08/2018;15PS;B;1;NA;Renversé
28/08/2018;22PS;A;2;2;
28/08/2018;22PS;B;3;4;
28/08/2018;23PS;A;3;2;
28/08/2018;23PS;B;5;3;
28/08/2018;24PS;A;2;0;
28/08/2018;24PS;B;2;0;
28/08/2018;30PS;A;1;2;
28/08/2018;30PS;B;4;2;
28/08/2018;33PS;A;4;5;
28/08/2018;33PS;B;4;3;
28/08/2018;36PS;A;1;2;
28/08/2018;36PS;B;3;0;
28/08/2018;12EH;A;3;0;Visibilité réduite (fleurs)
28/08/2018;12EH;B;3;0;
28/08/2018;22EH;A;3;0;
28/08/2018;22EH;B;3;3;Piège vidé (chien)
28/08/2018;23EH;A;3;0;
28/08/2018;23EH;B;4;0;
28/08/2018;24EH;A;4;11;
28/08/2018;24EH;B;5;11;
28/08/2018;34EH;A;3;4;
28/08/2018;34EH;B;3;3;
28/08/2018;35EH;A;3;7;
28/08/2018;35EH;B;6;21;
28/08/2018;38EH;A;2;0;
28/08/2018;38EH;B;6;2;
28/08/2018;41EH;A;3;1;Visibilité réduite (fleurs)
28/08/2018;41EH;B;2;0;
28/08/2018;45EH;A;1;1;Visibilité réduite (fleurs)
28/08/2018;45EH;B;4;1;
28/08/2018;47EH;A;2;7;
28/08/2018;47EH;B;3;3;
31/08/2018;9ER;A;4;4;
31/08/2018;9ER;B;4;31;
31/08/2018;11ER;A;3;24;
31/08/2018;11ER;B;3;2;
31/08/2018;13ER;A;5;3;Eau trouble
31/08/2018;13ER;B;6;4;Eau trouble
31/08/2018;16ER;A;4;10;
31/08/2018;16ER;B;4;3;Eau trouble
31/08/2018;20ER;A;3;16;Eau trouble
31/08/2018;20ER;B;3;58;
31/08/2018;23ER;A;3;6;
31/08/2018;23ER;B;2;2;
31/08/2018;24ER;A;4;5;Eau trouble
31/08/2018;24ER;B;4;17;Eau trouble
31/08/2018;25ER;A;4;9;
31/08/2018;25ER;B;6;14;Eau trouble
31/08/2018;34ER;A;0;0;Piège incliné
31/08/2018;34ER;B;0;0;
31/08/2018;39ER;A;6;11;
31/08/2018;39ER;B;4;4;
31/08/2018;8PS;A;6;0;
31/08/2018;8PS;B;3;15;
31/08/2018;10PS;A;7;4;
31/08/2018;10PS;B;4;5;
31/08/2018;11PS;A;3;4;
31/08/2018;11PS;B;3;2;Eau trouble + Inflos tombées
31/08/2018;15PS;A;7;2;Eau trouble
31/08/2018;15PS;B;1;1;
31/08/2018;22PS;A;4;1;
31/08/2018;22PS;B;2;3;
31/08/2018;23PS;A;2;2;
31/08/2018;23PS;B;4;0;
31/08/2018;24PS;A;2;0;
31/08/2018;24PS;B;3;0;
31/08/2018;30PS;A;6;NA;Ecrasé
31/08/2018;30PS;B;3;0;
31/08/2018;33PS;A;3;3;
31/08/2018;33PS;B;4;2;
31/08/2018;36PS;A;4;5;
31/08/2018;36PS;B;4;1;
31/08/2018;12EH;A;5;0;
31/08/2018;12EH;B;2;0;
31/08/2018;22EH;A;3;0;
31/08/2018;22EH;B;3;3;
31/08/2018;23EH;A;5;NA;Ecrasé
31/08/2018;23EH;B;3;1;
31/08/2018;24EH;A;2;0;
31/08/2018;24EH;B;3;39;
31/08/2018;34EH;A;4;9;
31/08/2018;34EH;B;4;0;
31/08/2018;35EH;A;3;14;
31/08/2018;35EH;B;4;8;
31/08/2018;38EH;A;6;2;
31/08/2018;38EH;B;5;3;
31/08/2018;41EH;A;3;2;
31/08/2018;41EH;B;3;3;
31/08/2018;45EH;A;1;0;
